date,source,query,matched_route,score,outcome_signal,scope_check,lesson,action,status,related_path,privacy
2026-07-12,train-theo,planos futuros do anatomia do gasto,executivo,7,mismatch_got_executivo,in,Add keywords to route 'roadmap-proximos' to match query 'planos futuros do anatomia do gasto' (currently got executivo score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,o q ainda falta fazer,voluntariado,2,mismatch_got_voluntariado,in,Add keywords to route 'roadmap-proximos' to match query 'o q ainda falta fazer' (currently got voluntariado score=2; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,proxima atualizacao do site,sobre,2,mismatch_got_sobre,in,Add keywords to route 'roadmap-proximos' to match query 'proxima atualizacao do site' (currently got sobre score=2; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,vao expandir pra outras cidades,apartidarismo,1,mismatch_got_apartidarismo,in,Add keywords to route 'roadmap-proximos' to match query 'vao expandir pra outras cidades' (currently got apartidarismo score=1; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,o q e essa area de experimento,executivo,3,mismatch_got_executivo,in,Add keywords to route 'sandbox-theo' to match query 'o q e essa area de experimento' (currently got executivo score=3; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,onde testo perguntas pro assistente,pacto-federativo,3,mismatch_got_pacto-federativo,in,Add keywords to route 'sandbox-theo' to match query 'onde testo perguntas pro assistente' (currently got pacto-federativo score=3; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,o q sao os agente inteligente do projeto,agentes-maestro,2,match_low_confidence,in,Add keywords to route 'agentes-maestro' to match query 'o q sao os agente inteligente do projeto' (currently got agentes-maestro score=2; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,o q e o maestro do anatomia do gasto,executivo,7,mismatch_got_executivo,in,Add keywords to route 'agentes-maestro' to match query 'o q e o maestro do anatomia do gasto' (currently got executivo score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,como funciona a automacao do site,tecnologia-site,5,mismatch_got_tecnologia-site,in,Add keywords to route 'agentes-maestro' to match query 'como funciona a automacao do site' (currently got tecnologia-site score=5; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,ia que ajuda a coletar os dados,fontes,11,mismatch_got_fontes,in,Add keywords to route 'agentes-maestro' to match query 'ia que ajuda a coletar os dados' (currently got fontes score=11; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,quem coordena os agente automatico,sobre,4,mismatch_got_sobre,in,Add keywords to route 'agentes-maestro' to match query 'quem coordena os agente automatico' (currently got sobre score=4; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,como a ia ajuda a manter o site,tecnologia-site,5,mismatch_got_tecnologia-site,in,Add keywords to route 'agentes-maestro' to match query 'como a ia ajuda a manter o site' (currently got tecnologia-site score=5; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
