id,date,source,problem_id,status,summary,action,validation,related_path,reuse_notes,privacy
S-2026-06-02-010,2026-06-02,Codex,P-2026-06-02-010,validated,Add QA comparison and dry-run generator for URBES public indexes,Updated lacuna QA to compare public URBES OCR indexes against extracted OCR rows and used the authorized --write-public path to align contratos_transporte public rows from 39 to 47,py_compile OK; gerar_urbes_indices_publicos --write-public OK; qa_lacunas_sorocaba no longer warns public_index_rows_vs_ocr,tools/data/qa_lacunas_sorocaba.py; tools/data/gerar_urbes_indices_publicos.py; docs/decisao-publicabilidade-urbes-contratos-sorocaba-2026-06-02.md,"For public data corrections, make stale-public checks visible and use dry-run-by-default writers with an explicit public-write flag.",public sanitized
S-2026-06-02-011,2026-06-02,Codex,P-2026-06-02-011,validated,Add QA comparison and dry-run generator for FUNSERV APR publication,Updated lacuna QA to compare public APR rows against extracted APR rows and used the authorized --write-public path to align public APR rows from 66 to 71 with sanitized columns only,py_compile OK; gerar_funserv_apr_publicacao --write-public OK; qa_lacunas_sorocaba no longer warns public_apr_rows_vs_extracted,tools/data/qa_lacunas_sorocaba.py; tools/data/gerar_funserv_apr_publicacao.py; docs/decisao-publicabilidade-funserv-sorocaba-2026-06-02.md,"For sensitive autarchy data, publish sanitized business columns only and keep raw document identifiers, fund CNPJ and text extraction out of data/public.",public sanitized
S-2026-06-02-012,2026-06-02,Codex,P-2026-06-02-012,validated,Treat documented Sorocaba limits as accepted QA outcomes,Changed lacuna QA so SAAE documented field gaps and the PNCP atas_2023 out-of-scope extracted row count as OK only when the relevant decision/public filter exists; added a Sorocaba non-LAI closure doc,py_compile OK; qa_lacunas_sorocaba OK 86 ok 0 warn 0 fail,tools/data/qa_lacunas_sorocaba.py; docs/fechamento-sorocaba-nao-lai-2026-06-02.md; docs/qa-lacunas-sorocaba-2026-06-02.md,Keep QA evidence in metrics but stop surfacing resolved documented limits as active warnings.,public sanitized
S-2026-06-03-001,2026-06-03,Claude,P-2026-06-03-001,validated,Gerador derivado vira read-only por padrao + merge preservador; fonte de verdade e o manifesto curado,main() agora relata drift sem escrever; --write faz merge preservando linhas curadas e so anexa fontes novas; --regenerate-scratch guardado contra reducao de publicado+publicado_parcial; status_auditavel passa a emitir publicado_parcial/coletado_pendente_validacao com precedencia do estado declarado; inventario alinhado ao status curado,report sem drift; merge byte-identico; scratch reproduz distribuicao; validate-area publication+scope OK,pipelines/gerar_sorocaba_100_auditavel.py; data/manifests/inventario_fontes_sorocaba.csv,"Padrao reutilizavel: quando um artefato curado tem um gerador derivado, o gerador nao deve sobrescrever por padrao — merge-preserve + guarda anti-regressao + modo relatorio.",public sanitized
S-2026-06-03-002,2026-06-03,Claude,P-2026-06-03-002,validated,Scanner de segredos no pre-commit + area secrets,"Criado tools/agents/check-secrets.py (BLOCK p/ formatos de credencial inequivocos, WARN p/ heuristicas, allowlist p/ placeholders e literais de detector); hook .githooks/pre-commit (core.hooksPath=.githooks ja ativo); area secrets no validate-area + plug no gate de scope; valor do token redatado na copia viva",selftest 5/5; check-secrets --all OK; teste e2e via GIT_INDEX_FILE descartavel bloqueou ghp_ sem tocar indice real; validate-area secrets+scope OK,tools/agents/check-secrets.py; .githooks/pre-commit; tools/agents/validate-area.py; memory/handoffs/2026-06/2026-06-03-urgente-seguranca.md,O .gitignore protege ARQUIVOS sensiveis mas nao CONTEUDO inline; preciso scanner de conteudo no pre-commit. Nunca colar valor de segredo nem em doc/handoff — referenciar por local. Revogar token + purgar historico exige acao do usuario e arvore parada.,public sanitized
S-2026-06-03-003,2026-06-03,Claude,P-2026-06-03-003,validated,Gate unico fail-closed de commit-publicacao,"check-commit-gate.py orquestra 3 camadas: segredos (BLOCK), caminhos proibidos (BLOCK, barra ate git add -f), mock/PII (WARN advisory via check-data-integrity, antes orfao). Estagios --staged (pre-commit, escopado) e --full (pre-push/publicacao). Plugado em pre-commit e pre-push; area publish no validate-area. Zero dependencia nova por causa do worm.",compile OK; --full GATE OK sem WARN; e2e caminho-proibido bloqueou data/raw via indice descartavel; check-secrets selftest 5/5,tools/agents/check-commit-gate.py; .githooks/pre-commit; .githooks/pre-push; tools/agents/validate-area.py; docs/pipeline-commit-publicacao.md,BLOCK so em alta confianca/baixo falso-positivo; ambiguo vira WARN+revisao humana. .gitignore protege nome de arquivo; o gate enforca caminho proibido mesmo sob git add -f.,public sanitized
S-2026-06-09-001,2026-06-09,code-review,P-2026-06-09-001,validated,Remove all dots before prepending artifact prefix digit in PDF number reconstruction,"Change `numero.replace('.', '', 1)` to `numero.replace('.', '')` — pdfplumber artifact prefix is a single digit; removing ALL dots before `_parse_br` is safe because `_parse_br` handles dot-free Brazilian numbers correctly","Re-ran extractor on 17 PDFs; 108 records; totals unchanged (Urbes values < R$999.999, so no impact on existing data, but fix is correct for future-proofing)",pipelines/extrair_urbes_despesas.py,"Always remove ALL thousand-separator dots when reconstructing a split number from OCR artifacts; never use replace(sep, '', N) for numeric string normalization",public sanitized
S-2026-06-09-002,2026-06-09,code-review,P-2026-06-09-002,validated,Remove `or True` from conditional to restore flag semantics; make validation unconditional since it's always useful,"Replace `if args.validar or True: _validar(todas_linhas)` with `_validar(todas_linhas)` — since validation is cheap and useful, make it unconditional rather than adding dead conditional logic",Extractor runs correctly; validation prints on every run as expected,pipelines/extrair_urbes_despesas.py,"When writing CLI flags with argparse, test the actual branching logic — `or True` is a common debugging leftover that silently disables flag functionality",public sanitized
S-2026-06-10-001,2026-06-10,Claude,P-2026-06-10-001,validated,Add /*turbopackIgnore: true*/ to all process.cwd() data path constants + add surgical outputFileTracingIncludes entry,ORIGINAL FIX (turbopackIgnore + surgical includes for transferencias) was necessary but NOT sufficient. Root cause had TWO parts: (1) missing turbopackIgnore AND (2) prebuild copying data/public/paulinia/ to public/dados/ — Next.js auto-bundles public/ directory contents into Lambda functions. COMPLETE FIX: (a) turbopackIgnore on all process.cwd() data paths; (b) Remove prebuild entirely (no public/dados/); (c) Redirect large Sorocaba dirs (despesa/autarquias/empenho = 192MB) to GitHub Raw in API route; (d) Include only small files in outputFileTracingIncludes for API route (~60MB); (e) Surgical includes for each page route.,Deploy succeeded after fix; Lambda for paulinia/transferencias = ~30MB (framework only + 60KB data),apps/web/app/paulinia/transferencias/page.tsx; apps/web/next.config.ts,"CRITICAL RULE: Never use next.js public/ as data cache — files in public/ ARE auto-bundled into Lambda functions during Vercel build. If you need to serve large data files: (a) redirect to GitHub Raw (public repos) OR (b) use outputFileTracingIncludes with surgical subdirs. Each Lambda must stay under ~210MB of data files (+ ~30MB framework = ~240MB, leaving 10MB headroom below 250MB limit).",public sanitized
S-2026-07-09-001,2026-07-09,Claude,P-2026-07-09-001,validated,"Reescrever extrator para usar so parametros reais (ano+pagina) e filtrar client-side por localidadeDoGasto antes de gravar linha; compartilhar cache entre municipios ja que a busca e nacional","Antes de assumir que um parametro de query documentado internamente (docstring/comentario) e real, baixar o swagger oficial (GET {base}/v3/api-docs) e checar components.schemas + paths[...].parameters diretamente - nao confiar em doc de terceiros nem em suposicao. Cache raw mudou de por-municipio para compartilhado (data/raw/_nacional/) para nao repetir paginacao nacional 77x sob rate limit",9 testes unittest (4 novos de regressao) verificam URL final so contem ano/pagina e que filtro por localidadeDoGasto exclui linhas de outros municipios,pipelines/baixar_emendas_federais.py pipelines/testes/test_baixar_emendas_federais.py,"Quando uma API de terceiros nao aceita filtro esperado (municipio/localidade), nao ha fix no lado do cliente que resolva sozinho - a arquitetura de coleta precisa mudar (fetch global + filtro local) e requer nova coleta completa; nao basta corrigir mapeamento de campos",public sanitized
S-2026-07-11-001,2026-07-11,Claude,P-2026-07-11-001,validated,"Reescrever score_route()/score_query() em train-theo.py para replicar exatamente scoreRoute()/findBestMatch() de theo-guide.tsx (match exato completo = +3; palavra >3 chars presente na query = +1 parcial, por keyword, somado)","Ao portar uma logica de producao (TS) para uma ferramenta offline de teste (Python), reproduzir a formula EXATA linha a linha, nao uma aproximacao equivalente-na-intencao; qualquer resumo simplificado da formula tende a divergir silenciosamente e gerar sinais de treino inuteis por meses sem ninguem perceber",eval-theo-training.py 40/40 casos bons apos a correcao (era 1/40 com a formula antiga),tools/agents/train-theo.py,"Qualquer 'port' de scorer/matcher para outra linguagem/ferramenta precisa de um teste de paridade explicito (mesma query, mesma rota, mesmo score) contra a implementacao real antes de confiar nos sinais gerados",public sanitized
